knee_X	knee_Y	knee_Z
	16.954294	-0.713331	-23.196236
	19.148515	-0.490417	-22.978820
	21.355068	-0.298671	-22.819972
	23.521275	-0.147324	-22.688744
	25.594760	-0.043583	-22.545209
	27.527992	0.010062	-22.352401
	29.282628	0.017676	-22.089217
	30.832779	-0.010356	-21.757032
	32.166029	-0.059628	-21.377782
	33.281794	-0.114328	-20.986853
	34.188173	-0.158880	-20.625045
	34.898578	-0.179288	-20.331112
	35.428215	-0.165223	-20.133423
	35.790518	-0.112175	-20.043501
	35.995393	-0.022619	-20.057793
	36.050291	0.094057	-20.164100
	35.962167	0.223330	-20.344344
	35.738459	0.348648	-20.575736
	35.387389	0.454445	-20.834877
	34.918167	0.528514	-21.102390
	34.340778	0.563633	-21.366012
	33.665277	0.557991	-21.621180
	32.901358	0.514470	-21.866857
	32.058755	0.439037	-22.101039
	31.148026	0.338458	-22.321290
	30.180792	0.218338	-22.526683
	29.169194	0.082264	-22.716972
	28.125282	-0.068291	-22.890007
	27.060912	-0.233468	-23.040447
	25.987820	-0.413915	-23.160984
	24.917376	-0.609442	-23.243704
	23.860197	-0.818058	-23.281101
	22.825957	-1.035694	-23.268492
	21.823220	-1.256552	-23.206443
	20.859808	-1.473820	-23.101142
	19.944234	-1.680481	-22.963682
	19.086979	-1.870186	-22.809590
	18.300573	-2.038170	-22.657268
	17.598890	-2.181766	-22.524472
	16.996378	-2.300201	-22.424874
	16.507467	-2.394148	-22.366436
	16.146183	-2.465490	-22.351910
	15.925860	-2.517060	-22.380474
	15.858661	-2.552011	-22.448127
	15.954872	-2.572978	-22.546412
	16.222476	-2.581481	-22.661964
	16.667163	-2.578019	-22.778766
	17.292521	-2.562613	-22.881992
	18.100114	-2.534907	-22.960230
	19.089305	-2.493772	-23.006004
	20.257113	-2.437052	-23.016658
	21.598158	-2.361630	-22.993971
	23.104217	-2.263850	-22.941530
	24.763682	-2.140503	-22.863263
	26.561571	-1.989856	-22.764573
	28.479852	-1.811983	-22.653774
	30.497644	-1.608481	-22.542132
	32.591686	-1.381997	-22.442831
	34.737471	-1.135883	-22.369279
	36.910812	-0.874059	-22.333185
	39.089585	-0.600716	-22.342985
	41.255304	-0.319752	-22.402817
	43.394079	-0.034558	-22.512257
	45.496802	0.251580	-22.666475
	47.558784	0.534993	-22.856544
	49.578992	0.811492	-23.070609
	51.558934	1.076939	-23.295619
	53.501158	1.328284	-23.518766
	55.407645	1.564285	-23.728586
	57.278589	1.785752	-23.916239
	59.111815	1.995801	-24.076998
	60.902703	2.199995	-24.210802
	62.644488	2.405800	-24.321402
	64.328673	2.621707	-24.414921
	65.945390	2.856430	-24.498125
	67.483833	3.117475	-24.576220
	68.932551	3.409088	-24.650360
	70.279661	3.730706	-24.715978
	71.513144	4.076379	-24.763493
	72.620775	4.434887	-24.780925
	73.589468	4.790568	-24.756607
	74.404777	5.125106	-24.681633
	75.051484	5.419974	-24.552148
	75.515214	5.658559	-24.370227
	75.783935	5.827159	-24.142856
	75.848625	5.915199	-23.880436
	75.703168	5.915417	-23.595293
	75.344010	5.823589	-23.298931
	74.769837	5.637674	-22.999491
	73.980901	5.357847	-22.702258
	72.978089	4.987500	-22.411428
	71.762615	4.533366	-22.129877
	70.336442	4.004969	-21.858263
	68.702331	3.414978	-21.596252
	66.863391	2.780218	-21.345134
	64.823286	2.121859	-21.108974
	62.586838	1.463793	-20.894038
	60.160080	0.829708	-20.708133
	57.550451	0.240730	-20.559569
	54.767872	-0.285388	-20.455448
