ankle_X	ankle_Y	ankle_Z
	4.169966	-21.675541	8.857583
	6.708869	-19.158228	7.800683
	8.754298	-16.835307	6.688317
	10.352650	-14.745956	5.592003
	11.554708	-12.924573	4.568537
	12.411898	-11.397586	3.660673
	12.972238	-10.183885	2.897995
	13.276110	-9.295807	2.298414
	13.352756	-8.740211	1.869577
	13.218727	-8.520238	1.609287
	12.877599	-8.636728	1.505236
	12.320507	-9.088227	1.535238
	11.527857	-9.870138	1.669010
	10.472971	-10.973470	1.870850
	9.129020	-12.382856	2.102498
	7.478787	-14.074506	2.327524
	5.524591	-16.015322	2.517802
	3.293620	-18.163976	2.658796
	0.834357	-20.474882	2.749462
	-1.793515	-22.904242	2.796828
	-4.529328	-25.415357	2.809036
	-7.318723	-27.982095	2.789356
	-10.118427	-30.591567	2.730769
	-12.898293	-33.246922	2.611707
	-15.638796	-35.969647	2.395481
	-18.323766	-38.798844	2.035031
	-20.933100	-41.784770	1.480493
	-23.440719	-44.977821	0.682770
	-25.814846	-48.418416	-0.406625
	-28.016455	-52.130781	-1.830513
	-29.999535	-56.118452	-3.615277
	-31.715912	-60.360229	-5.762062
	-33.121796	-64.809689	-8.243661
	-34.183309	-69.402141	-11.007456
	-34.880568	-74.066533	-13.982801
	-35.210669	-78.733658	-17.089491
	-35.189527	-83.338616	-20.246560
	-34.850328	-87.823738	-23.383059
	-34.235178	-92.141374	-26.446681
	-33.385722	-96.251779	-29.402037
	-32.341680	-100.121336	-32.224309
	-31.142182	-103.725387	-34.898818
	-29.823980	-107.049366	-37.421791
	-28.419724	-110.085732	-39.796985
	-26.958192	-112.832254	-42.032260
	-25.464994	-115.294124	-44.139296
	-23.962591	-117.484612	-46.133546
	-22.470245	-119.421017	-48.031951
	-21.004059	-121.120468	-49.850812
	-19.576257	-122.598404	-51.604796
	-18.195026	-123.867565	-53.305442
	-16.865867	-124.937302	-54.960049
	-15.592834	-125.815504	-56.572800
	-14.378849	-126.511513	-58.146794
	-13.225644	-127.036040	-59.684996
	-12.133536	-127.398964	-61.190687
	-11.101416	-127.608616	-62.667865
	-10.127163	-127.673108	-64.120991
	-9.208080	-127.601793	-65.554363
	-8.341187	-127.405636	-66.972101
	-7.523488	-127.097521	-68.378867
	-6.752452	-126.693265	-69.780530
	-6.027257	-126.211711	-71.183794
